"Can be used only with catalog input type Dropdown"," สามารถใช้ได้เฉพาะกับรายการสินค้าที่มีการนำเข้าข้อมูลแบบดรอปดาวน์"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."," ในความต้องการของร้านค้า รายการทีคุณไม่ต้องการให้แสดงในรายการสินค้า หรือ จากการค้นหาควรจะให้มีสถานะ'ปิดใช้งาน'"
"# of Use","# จำนวนที่ใช้"
"%s Item(s)","%s รายการ(s)"
"(Will make search for the query above return results for this search.)","(จะทำการค้นหาจาก Query ด้านบนแล้วนำผลลัพธ์ที่ได้กลับมายังการค้นหา.)"
"(Copy data from: %s)","(คัดลอกข้อมูลจาก: %s)"
"-- Please Select --","-- กรุณาเลือก --"
"Add Recipient","Add Recipient"
"All Reviews","All Reviews"
"Are you sure you want to delete this attribute set?","Are you sure you want to delete this attribute set?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Attribute Identifier","Attribute Identifier"
"Availability: In stock. Ships within 24 hours.","Availability: In stock. Ships within 24 hours."
"Save","บันทึก"
"Save Attribute Set","บันทึกชุดคุณลักษณะ"
"Review was saved successfully","บันทึกบทวิจารณ์แล้ว"
"Review was successfully saved","บันทึกบทวิจารณ์แล้ว"
"Save Search","บันทึกการค้นหา"
"Records for ""","บันทึกสำหรับ """
"Product was successfully saved.","บันทึกสินค้าแล้ว"
"Search Term was successfully saved","บันทึกคำค้นหาแล้ว"
"Save Attribute","บันทึกคุณลักษณะ"
"Product attribute was successfully saved","บันทึกคุณลักษณะสินค้าแล้ว"
"Category saved","บันทึกประเภท"
"Save Category","บันทึกประเภทสินค้า"
"Save And Continue Edit","บันทึกและแก้ไขต่อ"
"Saved ","บันทึกแล้ว"
"First Name","ชื่อ"
"Name","ชื่อ"
"Tag Name","ชื่อ Tag"
"Name<br/>(For internal use)","ชื่อ<br/>(สำหรับใช้ภายใน)"
"Set Name","ชื่อชุดสินค้า"
"Attrib. Set Name","ชื่อชุดคุณลักษณะสินค้า"
"New Set Name","ชื่อชุดใหม่"
"Product Name","ชื่อสินค้า"
"Attribute Name:","ชื่อคูณลักษณะ:"
"Name In %s","ชื่อใน %s"
"Attribute Set","ชุดคุณลักษณะ"
"Reviews","บทวิจารณ์"
"Pending Reviews RSS","บทวิจารณ์ RSS กำลังรอการตรวจสอบ"
"Product Reviews","บทวิจารณ์สินค้า"
"Products Reviews","บทวิจารณ์สินค้า"
"Customers Reviews","บทวิจารณ์ของลูกค้า"
"Top/Right","บน/ขวา"
"Top/Left","บน/ซ้าย"
"Text Field","ฟิลด์ข้อความ"
"Error while saving this group. Please try again later.","พบข้อผิดพลาดขณะบันทึกกลุ่มนี้ กรุณาลองใหม่อีกครั้ง"
"There was an error while updating product(s) attributes","พบข้อผิดพลาดขณะกำลังอัพเกรดคุณลักษณะสินค้า"
"Error while saving this group. Group with the same name already exists.","พบข้อผิดพลาดขณะทำการบันทึกกลุ่มนี้ มีกลุ่มที่มีชื่อเดียวกันอยู่แล้ว"
"There was an error while removing products from websites","พบข้อผิดพลาดขณะที่ลบสินค้าออกจากเว็บไซต์"
"Error during retrieval of option value: %s","พบข้อผิดพลาดขณะดึงค่าตัวเลือก: %s"
"Error while adding customers for %s alert. Message: %s","พบข้อผิดพลาดขณะเพิ่มลูกค้าในการแจ้งเตือน %sข้อความ: %s"
"There was an error while adding products to websites","พบข้อผิดพลาดขณะเพิ่มสินค้าในเว็บไซต์"
"Problem saving the collection, aborting. Error: %s","พบปัญหาในการบันทึกข้อมูลกำลังยกเลิกการบันทึก ข้อผิดพลาด: %s"
"Print This Page","พิมพ์หน้านี้"
"Text Area","พื้นที่ข้อความ"
"Please click on Close Window button if it won't be closed automatically","กรุณาคลิกปุ่มปิดหน้าต่าง ถ้ามันไม่ปิดโดยอัตโนมัติ"
"Please enter a new group name","กรุณาใส่ชื่อกลุ่มใหม่"
"Please select static block ...","กรุณาเลือก static block ..."
"Please select product(s)","กรุณาเลือกสินค้า"
"Please select products for attributes update","กรุณาเลือกสินค้าที่จะอัพเดทคุณลักษณะ"
"Please select one or more attributes.","กรุณาเลือกคุณลักษณะหนึ่งอย่างหรือมากกว่า"
"Back","กลับ"
"Groups","กลุ่ม"
"Customer Group","กลุ่มลูกค้า"
"This group contains system attributes. Please move system attributes to another group and try again.","กลุ่มนี้ประกอบด้วยคุณลักษณะของระบบ กรุณาย้ายคุณลักษณะของระบบออกไปยังกลุ่มอื่นแล้วลองใหม่อีกครั้ง"
"Action","การกระทำ"
"Visibility","การมองเห็น"
"Failed to move file: %s","การย้ายไฟล์ล้มเหลว: %s"
"Conditions Combination","การรวมเงื่อนไข"
"Invalid option id specified for %s (%s), skipping the record","การระบรหัสตัวเลือกสำหรับ %s (%s) ไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid attribute set specified, skipping the record","การระบุชุดคุณลักษณะไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid store specified, skipping the record","การระบุร้านไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid attribute option specified for attribute %s (%s), skipping the record","การระบุคุณลักษณะตัวเลือกสำหรับคุณลักษณะ %s (%s) ไม่ถูกต้อง กำลังข้ามรายการ"
"Url Rewrite Management","การจัดการเขียน Url ใหม่"
"Category Navigation:","การควบคุมประเภท"
"New Search","การค้นหาใหม่"
"Input Validation for Store Owner","การตรวจสอบความถูกต้องของข้อมูลที่นำเข้าสำหรับเจ้าของร้าน"
"Super product attributes configuration","การตั้งค่าคุณลักษณะสินค้าขั้นสูง"
"Search Engine Optimizations","การปรับแต่งเครื่องมือในการค้นหา"
"Last Notification","การแจ้งเตือนครั้งสุดท้าย"
"Invalid store specified","กำหนดร้านค้าไม่ถุกต้อง"
"Prev","ก่อนหน้า"
"Previous","ก่อนหน้านี้"
"Media Image","ภาพ Media"
"Product Image Watermarks","ภาพลายน้ำ้สินค้า"
"Visible","มองเห็นได้"
"Store View","มุมมองร้านค้า"
"More Views","มุมมองเพิ่มเติม"
"Stock Availability","มีสินค้าในคลังสินค้า"
"Search Term with such search query already exist.","มีคำค้นหาที่เกี่ยวกับคำคันหาเช่นนี้แล้ว"
"Attribute with the same code already exists","มีคุณลักษณะที่ใช้โค้ดเดียวกันอยู่แล้ว"
"Stretch","ยืดออก"
"Product %s successfully removed from compare list","ย้ายผลิตภัฑณ์จากรายการเปรียบเทียบสำเร็จ"
"ID","รหัส"
"Attribute Code","รหัสคุณลักษณะ"
"Invalid category IDs","รหัสประเภทไม่ถูุกต้อง"
"Pending","รอตรวจสอบ"
"System","ระบบ"
"Product collection expected","ระบบต้องการข้อมูลคอลเลคชั่นสินค้า"
"Tier Pricing","ระดับราคา"
"List","รายการ"
"Catalog","รายการสินค้า"
"Catalog, Search","รายการสินค้า, ค้นหา"
"Missing SKU, skipping the record","รายการสินค้าในร้านหายไป, กำลังข้ามรายการ"
"Items %s to %s of %s total","รายการที่ %s ถึง %s จากทั้งหมด %s "
"Compare Products List","รายการเปรียบเทียบสินค้า"
"Quick Overview","รายละเอียด"
"Product Description","รายละเอียดสินค้า"
"Price","ราคา"
"Price:","ราคา:"
"Special Price:","ราคาพิเศษ:"
"Default price","ราคาที่เป็นค่าเริ่มต้น"
"Regular Price:","ราคาปกติ:"
"Old Price:","ราคาเก่า:"
"Image","รูปภาพ"
"Product Image Placeholders","รูปภาพสินค้า Placeholders"
"Reset","รีเซ็ต"
"Store","ร้านค้า"
"Delete","ลบ"
"Delete Attribute Set","ลบชุดคุณลักษณะ"
"Review successfully deleted","ลบบทวิจารณ์แล้ว"
"Delete Selected Group","ลบกลุ่มที่เลือก"
"Delete Search","ลบการค้นหา"
"Search was successfully deleted","ลบการค้นหาแล้ว"
"Remove This Item","ลบรายการสินค้านี้ออก"
"Total of %d record(s) were successfully deleted","ลบรายการทั้งสิ้น %d รายการแล้ว"
"Remove Product","ลบสินค้าออก"
"Remove Product From Websites","ลบสินค้าออกจากเว็บไซต์"
"Product deleted","ลบสินค้าแล้ว"
"Remove","ลบออก"
"Delete Attribute","ลบคุณลักษณะ"
"Product attribute was successfully deleted","ลบคุณลักษณะสินค้าแล้ว"
"Delete Option","ลบตัวเลือก"
"Delete Category","ลบประเภท"
"Category deleted","ลบประเภทแล้ว"
"Feature Products","ลักษณะสินค้า"
"Watermark","ลายน้ำ"
"Bottom/Right","ล่าง/ขวา"
