"Widget Type is not specified","Widgettyp är inte vald"
"Widget Type","Widgettyp"
"Widget Instance Title","Widgetinstanstitel"
"The widget instance has been deleted.","Widgetinstansen har tagits bort."
"The widget instance has been saved.","Widgetinstansen har sparats."
"Widget Instance","Widgetinstans"
"Widget ID","Widgetid"
"Widget Options","Widget inställningar"
"View","Visa"
"items selected","valda artiklar"
"Specified Page","Vald sida"
"Choose...","Välj..."
"Select Visible","Välj synliga"
"Select All","Välj alla"
"Type","Typ"
"Thumbnail","Tumnagelbild"
"Total %d records found","Totalt %d poster funna"
"Assign to Store Views","Tilldela butiksvy"
"Remove Layout Update","Ta bort layout uppdatering"
"Delete","Ta bort"
"Big Image","Stor bild"
"Close","Stäng"
"Specific %s","Specifik %s"
"Save and Continue Edit","Spara och fortsätt ändra"
"Sort Order","Sorteringsordning"
"Add Layout Update","Skapa Layoutuppdatering"
"Page","Sida"
"Products","Produkter"
"per page","per sida"
"New Widget Instance","Ny Widgetinstans"
"New Instance","Ny instans"
"Next page","Nästa sida"
"Template","Mall"
"Layout Updates","Layoutuppdatering"
"Insert Widget","Lägg till Widget"
"Add New Widget Instance","Lägg till ny Widgetinstans "
"Categories","Kategorier"
"Settings","Inställnignar"
"The information in this tab has been changed.","Informationen i denna flik har ändrats."
"Non-Anchor Categories","Icke ankarkategorier"
"Manage Widget Instances","Hantera Widgetinstans"
"Generic Pages","Generella sidor"
"Frontend Properties","Frontend egenskaper"
"Continue","Fortsätt"
"Wrong wigdet instance specified.","Felaktig widgetinstans vald."
"Default Template","Förvald mall"
"Previous page","Föregående sida"
"Export to:","Exportera till:"
"Not Selected","Ej valt"
"Design Package/Theme","Design Paket/Tema"
"This tab contains invalid data. Please solve the problem before saving.","Denna tabb innehåller ogiltig data. Vänligen lös problemet innan du sparar."
"Block Reference","Blockreferens"
"Images","Bilder"
"Unselect Visible","Avmarkera synliga"
"Unselect All","Avmarkera alla"
"of %s pages","av %s sidor"
"Anchor Categories","Ankarkategorier"
"All Pages","Alla sidor"
"All Product Types","Alla produkttyper"
"All","Alla"
"Actions","Åtgärder"
"-- Please Select --","-- Vänligen välj --"
"Orders and Returns", "Ordrar och returer"
